CPI,CPIT,CPIXA,field_inflations_date
7.10,0.00,0.00,"Jun 2001"
5.90,0.00,0.00,"Jul 2001"
6.00,0.00,0.00,"Aug 2001"
6.10,0.00,0.00,"Sep 2001"
7.30,0.00,0.00,"Mar 2001"
6.50,0.00,0.00,"Apr 2001"
7.30,0.00,0.00,"May 2001"
8.50,0.00,0.00,"Nov 2000"
8.50,0.00,0.00,"Dec 2000"
8.00,0.00,0.00,"Jan 2001"
7.40,0.00,0.00,"Feb 2001"
10.40,0.00,0.00,"Jul 2000"
8.40,0.00,0.00,"Aug 2000"
8.00,0.00,0.00,"Sep 2000"
8.40,0.00,0.00,"Oct 2000"
7.80,0.00,0.00,"Mar 2000"
8.40,0.00,0.00,"Apr 2000"
8.70,0.00,0.00,"May 2000"
8.90,0.00,0.00,"Jun 2000"
8.40,0.00,0.00,"Dec 1999"
8.30,0.00,0.00,"Jan 2000"
8.10,0.00,0.00,"Feb 2000"
8.50,0.00,0.00,"Aug 1999"
9.10,0.00,0.00,"Sep 1999"
9.00,0.00,0.00,"Oct 1999"
8.50,0.00,0.00,"Nov 1999"
7.20,0.00,0.00,"Apr 1999"
7.00,0.00,0.00,"May 1999"
7.20,0.00,0.00,"Jun 1999"
6.90,0.00,0.00,"Jul 1999"
6.70,0.00,0.00,"Jan 1999"
7.40,0.00,0.00,"Feb 1999"
7.80,0.00,0.00,"Mar 1999"
